    Finished `test` profile [unoptimized] target(s) in 0.18s
     Running unittests src/lib.rs (/workspace/target/debug/deps/atuin_common-8cf6c9c650a85a28)
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_10_wholly_inside_the_gap_from_behind ... ok
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_11_negative_backwards_is_empty ... ok
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_12_everything ... ok
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_13_across_the_gap ... ok
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_14_across_into_the_gap ... ok
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_15_from_the_end_back_to_the_start ... ok
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_16_from_the_end_back_to_line_zero ... ok
test range::py_style::tests::resolve_for_split_is_always_sliceable ... ok
test range::py_style::tests::resolve_for_split_reports_the_gap_when_a_bound_overshoots ... ok
test futures::stream::tests::holds_invariants ... ok
test filter::tests::from_list_sorts_dedupes_and_rejects_empty_lists ... ok
test filter::tests::an_all_filter_compares_equal_only_to_none ... ok
test filter::tests::slice_and_vec_views_preserve_the_items ... ok
test filter::tests::into_list_returns_the_items ... ok
test filter::tests::mut_slice_storage_agrees_with_vec_storage ... ok
test filter::tests::contains_agrees_with_the_item_set ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_01_key ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_02_key_base64 ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_08_keys_subcommand ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_05_register ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_03_highlighted_account_login ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_11_plain ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_07_login ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_04_account_register ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_10_unrelated_key_word ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_09_history ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_12_echoed_mention ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_06_change_password ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_16_help_lookup ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_14_grepped_mention ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_15_commit_message ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_13_printed_mention ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_19_after_pipe ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_18_after_semicolon ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_22_backticks ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_23_subshell ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_21_command_substitution ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_24_next_line ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_20_piped_out ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_17_after_and ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_27_env_prefix ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_28_by_path ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_29_absolute_path ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_25_sudo ... ok
test secrets::tests::commands_whose_output_holds_the_encryption_key::case_26_timed ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_04_azure_with_tab ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_03_azure_with_space ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_01_bare_name ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_05_azure_tokens_apart ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_02_mention ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_06_azure_no_key ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_09_login_bare ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_07_login_newline ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_10_lowercase_aws ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_11_marker ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_08_login_no_space ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_12_empty ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_13_azure_across_lines ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_15_login_nbsp ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_14_login_crlf ... ok
test secrets::tests::contains_secret_agrees_with_the_old_set_on_boundary_strings::case_16_stripe_test_one_short ... ok
test filter::tests::compare_matches_set_equality ... ok
test filter::tests::equality_is_set_equality ... ok
test encryption::paseto_v4::test::concurrent_generation_yields_one_complete_key ... ok
test secrets::tests::contains_secret_matches_the_old_pattern_set_exactly ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_06____NAME_abc_____NAME________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_04____NAME_AQoDYXdzEJr_____NAME________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_01____NAMEwJalrXUtnFEMI_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_09____NAMEwJalrXUtnFEMI_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_05____NAME_abcdef_____NAME________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_03____NAME_wJalrXUtnFEMI_____NAME________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_08____NAMEwJalrXUtnFEMI_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_07____NAME_wJalrXUtnFEMI_____NAME________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_13_______NAME_____wJalr_____X___1_________NAME__________X___1____ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_17____NAMEwJalrXUtnFEMI_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_12_______NAME_____wJalr_____X___1_________NAME__________X___1____ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_02____NAMEwJalrXUtnFEMI_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_10____exportNAME__abc_______exportNAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_11____NAME_____type_____service_account_____k_____v__________NAME__ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_18____NAMEtwJalrXUtnFEMI_____NAMEt_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_19____NAMEwJalr_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_14______NAME_____wJalr_____X_____1_________NAME__________X_____1___ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_16_______NAME____wJalr__________NAME_________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_23____NAMEwJalr_K7_MD_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_21____constNAME__str__wJalr_______constNAME__str_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_20____NAME_str__wJalr_______NAME_str_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_26____NAME_____NAME___ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_24____NAMEabc_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_27____NAME_____NAME___ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_28____NAMEnOTHERvalue_____NAMEnOTHERvalue___ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_29____NAME_npassword_hunter2_____NAME_npassword_hunter2___ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_30____echoNAME_____echoNAME___ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_25_____NAMEabc_______NAME________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_31____NAMEisrequired_____NAMEisrequired___ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_15____os_environ___NAME_____wJalr_______os_environ___NAME__________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_32____setNAME_andOTHER_____setNAME_andOTHER___ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_38____NAME___type_____service_account________NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_22____NAME_Optional_str___wJalr_______NAME_Optional_str________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_41_______NAMEV_____PATH_usr_bin_____HOME_root___________NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_36_______NAME______a___1____X___1_________NAME__________X___1____ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_33____NAME___type_____service_account_____private_key__________BEGI ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_34____NAME___type_____service_account_____private_key__________BEGI ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_42____Environment__NAMEV____FOObar_______Environment__NAME________F ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_39____NAMEx1b_311mwJalrx1b_m_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_37____NAME___a_____b___rest_____NAME____rest___ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_46____NAMEnOTHERx_____NAMEnOTHERx___ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_44____NAME__wJalr_K7______NAME________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_45____NAME_____NAME___ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_40____NAMEx1b_38216622646m__wJalr__x1b_m_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_43_______NAME_____ab__cd_____Expiration_____2026___________NAME____ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_35____NAME___a______b______c___1___tail_____NAME____tail___ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_54____NAME_wJalr_____NAME________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_55____NAME_1___wJalr_K7______NAME_1_________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_53____NAMEwJalr_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_57____NAME_OLDwJalr_____NAME_OLD_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_47____pubconstNAME____staticstr__wJalr_______pubconstNAME____static ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_59____NAME_abc123AWS_REGIONus_east_1_____NAME_____AWS_REGIONus_east ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_49____NAME_dict_str_str____k_____wJalr________NAME_dict_str_str____ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_60____NAME_wJalr_OTHER_TOKENtok_____NAME______OTHER_TOKENtok___ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_48____NAME_str_None__wJalr_______NAME_str_None_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_56____NAME_JSON___type_____service_account________NAME_JSON_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_58_______NAME_____wJalr_____X_____yz___________NAME__________X_____ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_51____constNAME_string_undefined__wJalr_______constNAME_string_unde ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_66____NAMEabc__def_______NAME______def_____ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_52____constNAME_Cow__static_str__wJalr_______constNAME_Cow__static_ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_65____NAME___a______b______c______d___1_________NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_61____NAME___wJalr_____Expiration_____2026x_______NAME________Expir ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_67____NAME_FILE_run_secrets_aws_____NAME_FILE_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_50____NAME_typing_Optional_str___wJalr_______NAME_typing_Optional_s ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_63____NAME___abc_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_64____NAME___abc_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_2___AWS_SESSION_TOKEN__::shape_01____NAMEwJalrXUtnFEMI_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_1___AWS_SECRET_ACCESS_KEY__::shape_62____NAME_Dict_str_Dict_str_str_____a______b_____c_________NAME_Di ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_2___AWS_SESSION_TOKEN__::shape_03____NAME_wJalrXUtnFEMI_____NAME________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_2___AWS_SESSION_TOKEN__::shape_05____NAME_abcdef_____NAME________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_2___AWS_SESSION_TOKEN__::shape_06____NAME_abc_____NAME________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_2___AWS_SESSION_TOKEN__::shape_04____NAME_AQoDYXdzEJr_____NAME________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_2___AWS_SESSION_TOKEN__::shape_07____NAME_wJalrXUtnFEMI_____NAME________ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_2___AWS_SESSION_TOKEN__::shape_08____NAMEwJalrXUtnFEMI_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_2___AWS_SESSION_TOKEN__::shape_09____NAMEwJalrXUtnFEMI_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_2___AWS_SESSION_TOKEN__::shape_02____NAMEwJalrXUtnFEMI_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_2___AWS_SESSION_TOKEN__::shape_17____NAMEwJalrXUtnFEMI_____NAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_2___AWS_SESSION_TOKEN__::shape_13_______NAME_____wJalr_____X___1_________NAME__________X___1____ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_2___AWS_SESSION_TOKEN__::shape_11____NAME_____type_____service_account_____k_____v__________NAME__ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_2___AWS_SESSION_TOKEN__::shape_10____exportNAME__abc_______exportNAME_______ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_2___AWS_SESSION_TOKEN__::shape_12_______NAME_____wJalr_____X___1_________NAME__________X___1____ ... ok
test secrets::tests::every_env_var_pattern_redacts_each_assignment_shape::name_2___AWS_SESSION_TOKEN__::shape_18____NAMEtwJalrXUtnFEMI_____NAMEt_______ ... ok
